cpu_percent,mem_percent,time_stamp
14.9,57.5,2020-10-21 17:37:53.157336
5.6,57.3,2020-10-21 17:37:54.168751
27.8,57.5,2020-10-21 17:37:55.175311
0.0,57.6,2020-10-21 17:37:56.201646
20.7,57.7,2020-10-21 17:37:57.212594
20.8,57.7,2020-10-21 17:37:58.224416
0.0,57.8,2020-10-21 17:37:59.234590
100.0,57.9,2020-10-21 17:38:00.250618
0.0,57.9,2020-10-21 17:38:01.266345
25.0,57.9,2020-10-21 17:38:02.287135
0.0,58.0,2020-10-21 17:38:03.292545
80.0,57.9,2020-10-21 17:38:04.293173
0.0,57.9,2020-10-21 17:38:05.303594
25.0,58.0,2020-10-21 17:38:06.314870
25.0,57.8,2020-10-21 17:38:07.325808
25.0,57.8,2020-10-21 17:38:08.333689
25.0,57.8,2020-10-21 17:38:09.338518
25.0,57.9,2020-10-21 17:38:10.345354
0.0,57.8,2020-10-21 17:38:11.358895
0.0,57.8,2020-10-21 17:38:12.371132
25.0,57.9,2020-10-21 17:38:13.389583
0.0,57.9,2020-10-21 17:38:14.403617
50.0,57.3,2020-10-21 17:37:54.586465
100.0,57.6,2020-10-21 17:37:55.625554
32.0,57.6,2020-10-21 17:37:56.639934
0.0,57.7,2020-10-21 17:37:57.646033
0.0,57.8,2020-10-21 17:37:58.657887
0.0,57.8,2020-10-21 17:37:59.666617
0.0,57.8,2020-10-21 17:38:00.673591
12.5,57.8,2020-10-21 17:38:01.687264
0.0,57.9,2020-10-21 17:38:02.701547
27.6,57.9,2020-10-21 17:38:03.709588
24.0,58.0,2020-10-21 17:38:04.711212
0.0,57.9,2020-10-21 17:38:05.723807
29.2,57.9,2020-10-21 17:38:06.735217
0.0,57.8,2020-10-21 17:38:07.742305
0.0,57.7,2020-10-21 17:38:08.754985
0.0,57.9,2020-10-21 17:38:09.756482
0.0,57.8,2020-10-21 17:38:10.767570
29.2,57.9,2020-10-21 17:38:11.779648
0.0,57.9,2020-10-21 17:38:12.791220
0.0,58.2,2020-10-21 17:38:13.848494
38.9,58.1,2020-10-21 17:38:14.851923
21.1,58.1,2020-10-21 17:38:15.854450
0.0,58.1,2020-10-21 17:38:16.859454
0.0,58.3,2020-10-21 17:38:17.875067
15.6,57.5,2020-10-21 17:37:52.487825
27.9,57.4,2020-10-21 17:37:53.499658
17.0,57.3,2020-10-21 17:37:54.508603
62.2,57.5,2020-10-21 17:37:55.522554
0.0,57.6,2020-10-21 17:37:56.531887
24.4,57.7,2020-10-21 17:37:57.537181
14.6,57.8,2020-10-21 17:37:58.548374
0.0,57.8,2020-10-21 17:37:59.558621
0.0,57.8,2020-10-21 17:38:00.566202
0.0,57.8,2020-10-21 17:38:01.579898
0.0,57.9,2020-10-21 17:38:02.590622
0.0,58.0,2020-10-21 17:38:03.602312
0.0,57.9,2020-10-21 17:38:04.603651
21.9,57.9,2020-10-21 17:38:05.614261
0.0,58.1,2020-10-21 17:38:06.625594
12.5,57.9,2020-10-21 17:38:07.634308
0.0,57.8,2020-10-21 17:38:08.644282
31.2,57.9,2020-10-21 17:38:09.647718
0.0,57.8,2020-10-21 17:38:10.656069
0.0,57.8,2020-10-21 17:38:11.670141
28.1,57.8,2020-10-21 17:38:12.680700
0.0,57.9,2020-10-21 17:38:13.688272
